Algorithm,Function,Run,Best_Fitness
A-POA,CEC2017_F1,0,106936.46388044456
A-POA,CEC2017_F1,1,171891.52084897063
A-POA,CEC2017_F1,2,227396.6933724335
A-POA,CEC2017_F1,3,868269.1249111531
A-POA,CEC2017_F1,4,119742.72868085162
A-POA,CEC2017_F1,5,396150.0148408591
A-POA,CEC2017_F1,6,351140.1765611056
A-POA,CEC2017_F1,7,261915.5621155703
A-POA,CEC2017_F1,8,135537.66311071324
A-POA,CEC2017_F1,9,95675.74167943237
A-POA,CEC2017_F1,10,175871.4464015928
A-POA,CEC2017_F1,11,90189.36705630129
A-POA,CEC2017_F1,12,419329.511982026
A-POA,CEC2017_F1,13,327452.3607880407
A-POA,CEC2017_F1,14,76207.50128294872
A-POA,CEC2017_F1,15,229738.77290250504
A-POA,CEC2017_F1,16,681326.9308566151
A-POA,CEC2017_F1,17,136340.0441965694
A-POA,CEC2017_F1,18,306352.07239013317
A-POA,CEC2017_F1,19,663449.6976219342
A-POA,CEC2017_F1,20,427210.66791544214
A-POA,CEC2017_F1,21,926474.6624595396
A-POA,CEC2017_F1,22,184527.0973276082
A-POA,CEC2017_F1,23,502864.58262370486
A-POA,CEC2017_F1,24,161934.33203676206
A-POA,CEC2017_F1,25,245135.51815989372
A-POA,CEC2017_F1,26,106244.70556483183
A-POA,CEC2017_F1,27,40889.87972991486
A-POA,CEC2017_F1,28,396973.55487069255
A-POA,CEC2017_F1,29,486741.2541798196
A-POA,CEC2017_F1,30,601090.5574473949
A-POA,CEC2017_F1,31,288495.95336650487
A-POA,CEC2017_F1,32,237715.80713810504
A-POA,CEC2017_F1,33,128447.38164155162
A-POA,CEC2017_F1,34,581504.3516953739
A-POA,CEC2017_F1,35,33890.41707735209
A-POA,CEC2017_F1,36,237261.4888284467
A-POA,CEC2017_F1,37,686769.152707961
A-POA,CEC2017_F1,38,154283.79019274472
A-POA,CEC2017_F1,39,118873.55920977016
A-POA,CEC2017_F1,40,318497.1204536405
A-POA,CEC2017_F1,41,154372.2028073389
A-POA,CEC2017_F1,42,810695.0476540019
A-POA,CEC2017_F1,43,421018.6836269508
A-POA,CEC2017_F1,44,1695396.287757869
A-POA,CEC2017_F1,45,782318.0913692414
A-POA,CEC2017_F1,46,219816.72952449703
A-POA,CEC2017_F1,47,440232.9520470852
A-POA,CEC2017_F1,48,1413036.8291460653
A-POA,CEC2017_F1,49,532799.4383432266
A-POA,CEC2017_F3,0,304.3768355726424
A-POA,CEC2017_F3,1,307.03963831870493
A-POA,CEC2017_F3,2,304.2923308972967
A-POA,CEC2017_F3,3,304.77177301974496
A-POA,CEC2017_F3,4,303.02565076535916
A-POA,CEC2017_F3,5,300.41545374069085
A-POA,CEC2017_F3,6,309.1882883528301
