Function,Algorithm,Run,Best_Fitness,Source
CEC14_F1,Base_POA,0,262656.03882886795,resumed
CEC14_F1,Proposed_POA,0,1363797.1668490334,resumed
CEC14_F1,PSO,0,4291476.184708901,resumed
CEC14_F1,GWO,0,5264716.817549515,resumed
CEC14_F1,WOA,0,839328.8627528313,resumed
CEC14_F1,HHO,0,5783645.0246826,resumed
CEC14_F1,AOA,0,72887027.56861809,resumed
CEC14_F1,SCA,0,21293435.176192623,resumed
CEC14_F1,SSA,0,1937210.650131732,resumed
CEC14_F1,Base_POA,1,76820.72972024199,resumed
CEC14_F1,Proposed_POA,1,998578.4648613674,resumed
CEC14_F1,PSO,1,68093.2492363489,resumed
CEC14_F1,GWO,1,8113316.786508285,resumed
CEC14_F1,WOA,1,874479.6772229789,resumed
CEC14_F1,HHO,1,15438064.824360218,resumed
CEC14_F1,AOA,1,139039785.82721323,resumed
CEC14_F1,SCA,1,19592352.710594226,resumed
CEC14_F1,SSA,1,25752207.242110297,resumed
CEC14_F1,Base_POA,2,1027210.2326686712,resumed
CEC14_F1,Proposed_POA,2,1054364.202844943,resumed
CEC14_F1,PSO,2,786653.894806895,resumed
CEC14_F1,GWO,2,11589531.777518677,resumed
CEC14_F1,WOA,2,8552534.956502533,resumed
CEC14_F1,HHO,2,23030046.109923553,resumed
CEC14_F1,AOA,2,144226490.07669097,resumed
CEC14_F1,SCA,2,16062609.154251168,resumed
CEC14_F1,SSA,2,48014253.703837365,resumed
CEC14_F1,Base_POA,3,540468.0715261237,resumed
CEC14_F1,Proposed_POA,3,2295584.5776744406,resumed
CEC14_F1,PSO,3,206128.10829894195,resumed
CEC14_F1,GWO,3,1827460.416751763,resumed
CEC14_F1,WOA,3,1849470.422920303,resumed
CEC14_F1,HHO,3,5937649.034749238,resumed
CEC14_F1,AOA,3,52367326.87122335,resumed
CEC14_F1,SCA,3,10243378.39901102,resumed
CEC14_F1,SSA,3,20217258.932657205,resumed
CEC14_F1,Base_POA,4,479603.92883068096,resumed
CEC14_F1,Proposed_POA,4,1742081.3500053964,resumed
CEC14_F1,PSO,4,287964.1873771105,resumed
CEC14_F1,GWO,4,525117.8840384631,resumed
CEC14_F1,WOA,4,7508691.132827437,resumed
CEC14_F1,HHO,4,7584933.786283093,resumed
CEC14_F1,AOA,4,59677895.57743005,resumed
CEC14_F1,SCA,4,20189573.10290269,resumed
CEC14_F1,SSA,4,63853409.767657846,resumed
CEC14_F1,Base_POA,5,380309.6615244145,resumed
CEC14_F1,Proposed_POA,5,905513.3216708902,resumed
CEC14_F1,PSO,5,917291.8126129824,resumed
CEC14_F1,GWO,5,2469034.468329039,resumed
CEC14_F1,WOA,5,1184257.520037027,resumed
CEC14_F1,HHO,5,10662431.239193227,resumed
CEC14_F1,AOA,5,131285866.86358924,resumed
CEC14_F1,SCA,5,15057762.981106715,resumed
CEC14_F1,SSA,5,11504798.471383672,resumed
CEC14_F1,Base_POA,6,644134.3392366933,resumed
CEC14_F1,Proposed_POA,6,1471578.186792086,resumed
CEC14_F1,PSO,6,728401.508582826,resumed
CEC14_F1,GWO,6,17283485.65928626,resumed
CEC14_F1,WOA,6,3811783.726785451,resumed
CEC14_F1,HHO,6,4917964.436159934,resumed
